SOUTHEAST ASIAN CLIMATE ASSESSMENT & DATASET (SACA&D), file created on 10-05-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2011. Daily dataset for climate extremes
analyses in Southeast Asia.
In preparation
Data and metadata available at http://saca-bmkg.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INDONESIA, 	STASIUN METEOROLOGI MARITIM TANJUNG PRIOK	 (STAID: 101).
Blended and updated with sources: 100001 100101 101985 101987 996741 996745 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100101,18651201,-9999,    9
100101,18651202,-9999,    9
100101,18651203,-9999,    9
100101,18651204,-9999,    9
100101,18651205,-9999,    9
100101,18651206,-9999,    9
100101,18651207,-9999,    9
100101,18651208,-9999,    9
100101,18651209,-9999,    9
100101,18651210,-9999,    9
100101,18651211,-9999,    9
100101,18651212,-9999,    9
100101,18651213,-9999,    9
100101,18651214,-9999,    9
100101,18651215,-9999,    9
100101,18651216,-9999,    9
100101,18651217,-9999,    9
100101,18651218,-9999,    9
100101,18651219,-9999,    9
100101,18651220,-9999,    9
100101,18651221,-9999,    9
100101,18651222,-9999,    9
100101,18651223,-9999,    9
100101,18651224,-9999,    9
100101,18651225,-9999,    9
100101,18651226,-9999,    9
100101,18651227,-9999,    9
100101,18651228,-9999,    9
100101,18651229,-9999,    9
100101,18651230,-9999,    9
100101,18651231,-9999,    9
100101,18660101,   47,    0
100101,18660102,   14,    0
100101,18660103,    0,    0
100101,18660104,   64,    0
100101,18660105,  104,    0
100101,18660106,    0,    0
100101,18660107,-9999,    9
100101,18660108,    0,    0
100101,18660109,    0,    0
100101,18660110,    0,    0
100101,18660111,    0,    0
100101,18660112,    0,    0
100101,18660113,   31,    0
100101,18660114,-9999,    9
100101,18660115,  200,    0
100101,18660116,    0,    0
100101,18660117,    0,    0
100101,18660118,    9,    0
100101,18660119,   43,    0
100101,18660120,   27,    0
100101,18660121,-9999,    9
100101,18660122,  221,    0
100101,18660123,  183,    0
100101,18660124,  398,    0
100101,18660125,  205,    0
100101,18660126,   54,    0
100101,18660127,    1,    0
100101,18660128,    0,    0
100101,18660129,  105,    0
100101,18660130,   18,    0
100101,18660131,    0,    0
100101,18660201,    0,    0
100101,18660202,    0,    0
100101,18660203,    0,    0
100101,18660204,    0,    0
100101,18660205,    0,    0
100101,18660206,  100,    0
100101,18660207,   18,    0
100101,18660208,   41,    0
100101,18660209,    0,    0
100101,18660210,    0,    0
100101,18660211,-9999,    9
100101,18660212,   76,    0
100101,18660213,  225,    0
100101,18660214,  778,    0
100101,18660215,  125,    0
100101,18660216,  795,    0
100101,18660217,  382,    0
100101,18660218,-9999,    9
100101,18660219,  261,    0
100101,18660220,  365,    0
100101,18660221,  430,    0
100101,18660222,  134,    0
100101,18660223,  114,    0
100101,18660224,   79,    0
100101,18660225,-9999,    9
100101,18660226,  466,    0
100101,18660227,  126,    0
100101,18660228,   11,    0
100101,18660301,  530,    0
100101,18660302,    5,    0
100101,18660303,    0,    0
100101,18660304,    0,    0
100101,18660305,    0,    0
100101,18660306,  244,    0
100101,18660307,    0,    0
100101,18660308,    0,    0
100101,18660309,    0,    0
100101,18660310,    0,    0
100101,18660311,    0,    0
100101,18660312,   12,    0
100101,18660313,   60,    0
100101,18660314,    0,    0
100101,18660315,    0,    0
100101,18660316,    0,    0
100101,18660317,   24,    0
100101,18660318,-9999,    9
100101,18660319,    0,    0
100101,18660320,    0,    0
100101,18660321,    0,    0
100101,18660322,   12,    0
100101,18660323,    1,    0
100101,18660324,    3,    0
100101,18660325,    0,    0
100101,18660326,    0,    0
100101,18660327,   20,    0
100101,18660328,    0,    0
100101,18660329,  146,    0
100101,18660330,    0,    0
100101,18660331,    0,    0
100101,18660401,    0,    0
100101,18660402,    0,    0
100101,18660403,    0,    0
100101,18660404,    6,    0
100101,18660405,    1,    0
100101,18660406,   14,    0
100101,18660407,    0,    0
100101,18660408,    0,    0
100101,18660409,  170,    0
100101,18660410,    0,    0
100101,18660411,  140,    0
100101,18660412,    2,    0
100101,18660413,   94,    0
100101,18660414,    0,    0
100101,18660415,    0,    0
100101,18660416,    0,    0
100101,18660417,   33,    0
100101,18660418,    0,    0
100101,18660419,    0,    0
100101,18660420,    0,    0
100101,18660421,   20,    0
100101,18660422,-9999,    9
100101,18660423,    0,    0
100101,18660424,    0,    0
100101,18660425,    0,    0
100101,18660426,    0,    0
100101,18660427,   35,    0
100101,18660428,  170,    0
100101,18660429,-9999,    9
100101,18660430,    0,    0
100101,18660501,   39,    0
100101,18660502,    0,    0
100101,18660503,    0,    0
100101,18660504,   19,    0
100101,18660505,    0,    0
100101,18660506,    0,    0
100101,18660507,   11,    0
100101,18660508,  498,    0
100101,18660509,    0,    0
100101,18660510,    0,    0
100101,18660511,    0,    0
100101,18660512,    0,    0
100101,18660513,-9999,    9
100101,18660514,  526,    0
100101,18660515, 1851,    0
100101,18660516,   18,    0
100101,18660517,    0,    0
100101,18660518,    0,    0
100101,18660519,    0,    0
100101,18660520,-9999,    9
100101,18660521,    0,    0
100101,18660522,    0,    0
100101,18660523,    0,    0
100101,18660524,    5,    0
100101,18660525,   35,    0
100101,18660526,    0,    0
100101,18660527,-9999,    9
100101,18660528,   17,    0
100101,18660529,    7,    0
100101,18660530,    0,    0
100101,18660531,    0,    0
100101,18660601,    0,    0
100101,18660602,    0,    0
100101,18660603,-9999,    9
100101,18660604,    0,    0
100101,18660605,   13,    0
100101,18660606,    0,    0
100101,18660607,    0,    0
100101,18660608,    0,    0
100101,18660609,    0,    0
100101,18660610,    0,    0
100101,18660611,    0,    0
100101,18660612,    0,    0
100101,18660613,    0,    0
100101,18660614,    0,    0
100101,18660615,    0,    0
100101,18660616,    0,    0
100101,18660617,    0,    0
100101,18660618,    0,    0
100101,18660619,    0,    0
100101,18660620,    0,    0
100101,18660621,    0,    0
100101,18660622,    0,    0
100101,18660623,    0,    0
100101,18660624,    0,    0
100101,18660625,    0,    0
100101,18660626,    0,    0
100101,18660627,    0,    0
100101,18660628,    0,    0
100101,18660629,    0,    0
100101,18660630,    0,    0
100101,18660701,    0,    0
100101,18660702,    0,    0
100101,18660703,    0,    0
100101,18660704,    0,    0
100101,18660705,    0,    0
100101,18660706,    0,    0
100101,18660707,    0,    0
100101,18660708,    0,    0
100101,18660709,    0,    0
100101,18660710,    0,    0
100101,18660711,    0,    0
100101,18660712,    0,    0
100101,18660713,    0,    0
100101,18660714,    0,    0
100101,18660715,    0,    0
100101,18660716,    9,    0
100101,18660717,   28,    0
100101,18660718,    0,    0
100101,18660719,    0,    0
100101,18660720,    0,    0
100101,18660721,    0,    0
100101,18660722,    0,    0
100101,18660723,   61,    0
100101,18660724,    0,    0
100101,18660725,    0,    0
100101,18660726,    0,    0
100101,18660727,    0,    0
100101,18660728,    0,    0
100101,18660729,    0,    0
100101,18660730,    0,    0
100101,18660731,    0,    0
100101,18660801,    0,    0
100101,18660802,    0,    0
100101,18660803,    0,    0
100101,18660804,    0,    0
100101,18660805,    0,    0
